N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	[{"Label": "Prince Philip, Duke of Edinburgh", "Type": "P", "WikidataId": "Q80976", "Confidence": 1.0, "OccurrenceOffsets": [48], "SurfaceForms": ["Prince Philip"]}, {"Label": "Charles, Prince of Wales", "Type": "P", "WikidataId": "Q43274", "Confidence": 1.0, "OccurrenceOffsets": [28], "SurfaceForms": ["Prince Charles"]}, {"Label": "Elizabeth II", "Type": "P", "WikidataId": "Q9682", "Confidence": 0.97, "OccurrenceOffsets": [11], "SurfaceForms": ["Queen Elizabeth"]}]	[]
N35318	news	newsoffbeat	It's illegal to leave your pumpkins outside in Maricopa County	'Tis the season for carving faces and other designs into pumpkins before putting candles inside the rotting ghords to celebrate Halloween. It's a wonderful tradition which comes with a very important caveat in many Arizona counties. "Putting out a pumpkin for a javelina is definitely feeding wildlife," said Amy Burnett with Arizona game and Fish. Leaving your pumpkins outside in Maricopa County is illegal and you could be fined for doing do. The...	https://assets.msn.com/labs/mind/AAJgOsX.html	[{"Label": "Maricopa County, Arizona", "Type": "G", "WikidataId": "Q58691", "Confidence": 1.0, "OccurrenceOffsets": [47], "SurfaceForms": ["Maricopa County"]}]	[{"Label": "Maricopa County, Arizona", "Type": "G", "WikidataId": "Q58691", "Confidence": 1.0, "OccurrenceOffsets": [382], "SurfaceForms": ["Maricopa County"]}, {"Label": "Halloween", "Type": "H", "WikidataId": "Q251868", "Confidence": 0.991, "OccurrenceOffsets": [128], "SurfaceForms": ["Halloween"]}, {"Label": "Arizona Game and Fish Department", "Type": "U", "WikidataId": "Q16970982", "Confidence": 1.0, "OccurrenceOffsets": [326], "SurfaceForms": ["Arizona game and Fish"]}, {"Label": "Arizona", "Type": "G", "WikidataId": "Q816", "Confidence": 0.99, "OccurrenceOffsets": [215], "SurfaceForms": ["Arizona"]}]
N11360	health	nutrition	This is how much water you need to drink for weight loss	Drinking plenty of water is one of the major tenets of weight loss. But just how much water is enough? Here's how you can drink water to lose weight.	https://assets.msn.com/labs/mind/AACl1lW.html	[]	[{"Label": "Weight loss", "Type": "C", "WikidataId": "Q718113", "Confidence": 1.0, "OccurrenceOffsets": [137], "SurfaceForms": ["lose weight"]}]
N13566	lifestyle	lifestylepetsanimals	30 Least Expensive Dog Breeds	These 30 pups have friendly price points.	https://assets.msn.com/labs/mind/AAEN0JI.html	[{"Label": "Dog breed", "Type": "C", "WikidataId": "Q39367", "Confidence": 1.0, "OccurrenceOffsets": [19], "SurfaceForms": ["Dog Breeds"]}]	[]
N24417	sports	basketball_nba	Cavs could put claim on Alfonzo McKinnie after surprising release from Warriors	The Cleveland Cavaliers may be picking up a piece from their longtime rivals.	https://assets.msn.com/labs/mind/AAJ44R2.html	[{"Label": "Cleveland Cavaliers", "Type": "O", "WikidataId": "Q162990", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Cavs"]}, {"Label": "Alfonzo McKinnie", "Type": "P", "WikidataId": "Q32859236", "Confidence": 1.0, "OccurrenceOffsets": [24], "SurfaceForms": ["Alfonzo McKinnie"]}, {"Label": "Golden State Warriors", "Type": "O", "WikidataId": "Q157376", "Confidence": 0.993, "OccurrenceOffsets": [71], "SurfaceForms": ["Warriors"]}]	[{"Label": "Cleveland Cavaliers", "Type": "O", "WikidataId": "Q162990", "Confidence": 1.0, "OccurrenceOffsets": [4], "SurfaceForms": ["Cleveland Cavaliers"]}]
N59891	news	newsworld	Maryland police ID man killed in crash of semi hauling beer	NORTH EAST, Md. (AP)   Maryland state police have released the identity of a semitruck driver who was killed over the weekend when his vehicle overturned on Interstate 95. The News Journal of Wilmington reports 32-year-old Benjamin Pula died in the Sunday morning crash near North East and Rising Sun. The newspaper says Pula's LinkedIn page says he was a semitruck driver based in Greensboro, North Carolina, where he also helped manage a dairy...	https://assets.msn.com/labs/mind/AAINZbi.html	[{"Label": "Maryland", "Type": "G", "WikidataId": "Q1391", "Confidence": 0.991, "OccurrenceOffsets": [0], "SurfaceForms": ["Maryland"]}]	[{"Label": "North East, Maryland", "Type": "G", "WikidataId": "Q571856", "Confidence": 1.0, "OccurrenceOffsets": [0, 275], "SurfaceForms": ["NORTH EAST", "North East"]}, {"Label": "Maryland State Police", "Type": "O", "WikidataId": "Q3296292", "Confidence": 1.0, "OccurrenceOffsets": [23], "SurfaceForms": ["Maryland state police"]}, {"Label": "The News Journal", "Type": "M", "WikidataId": "Q7753915", "Confidence": 0.999, "OccurrenceOffsets": [172], "SurfaceForms": ["The News Journal"]}, {"Label": "Interstate 95", "Type": "S", "WikidataId": "Q94967", "Confidence": 0.997, "OccurrenceOffsets": [157], "SurfaceForms": ["Interstate 95"]}, {"Label": "Greensboro, North Carolina", "Type": "G", "WikidataId": "Q49238", "Confidence": 1.0, "OccurrenceOffsets": [382], "SurfaceForms": ["Greensboro"]}, {"Label": "Maryland", "Type": "G", "WikidataId": "Q1391", "Confidence": 0.991, "OccurrenceOffsets": [12], "SurfaceForms": ["Md"]}, {"Label": "LinkedIn", "Type": "O", "WikidataId": "Q213660", "Confidence": 1.0, "OccurrenceOffsets": [328], "SurfaceForms": ["LinkedIn"]}, {"Label": "North Carolina", "Type": "G", "WikidataId": "Q1454", "Confidence": 1.0, "OccurrenceOffsets": [394], "SurfaceForms": ["North Carolina"]}]
N30236	sports	tennis	American teenager Gauff reaches maiden WTA final in Linz	American teenager Gauff reaches maiden WTA final in Linz	https://assets.msn.com/labs/mind/AAIGvNZ.html	[{"Label": "Linz", "Type": "G", "WikidataId": "Q41329", "Confidence": 0.936, "OccurrenceOffsets": [52], "SurfaceForms": ["Linz"]}, {"Label": "Women's Tennis Association", "Type": "O", "WikidataId": "Q948442", "Confidence": 0.999, "OccurrenceOffsets": [39], "SurfaceForms": ["WTA"]}]	[{"Label": "Linz", "Type": "G", "WikidataId": "Q41329", "Confidence": 0.936, "OccurrenceOffsets": [52], "SurfaceForms": ["Linz"]}, {"Label": "Women's Tennis Association", "Type": "O", "WikidataId": "Q948442", "Confidence": 0.999, "OccurrenceOffsets": [39], "SurfaceForms": ["WTA"]}]
N64593	health	nutrition	An avocado a day could lower your 'bad' cholesterol levels and reduce your risk of heart disease	"Bad" cholesterol means LDL (low-density lipoprotein), and having too much can clot arteries and lead to heart problems.	https://assets.msn.com/labs/mind/AAJwg0G.html	[]	[{"Label": "Low-density lipoprotein", "Type": "C", "WikidataId": "Q28749", "Confidence": 1.0, "OccurrenceOffsets": [24], "SurfaceForms": ["LDL"]}]
N45970	news	newsworld	The Latest: House measure condemns Trump's Syria withdrawal	President Donald Trump said Wednesday that U.S. troops are "largely out" of a region of Syria where Turkish forces are attacking the Kurdish fighters who were America's allies in fighting the Islamic State group. (Oct. 16)	https://assets.msn.com/labs/mind/AAISHVS.html	[{"Label": "Syria", "Type": "G", "WikidataId": "Q858", "Confidence": 0.997, "OccurrenceOffsets": [43], "SurfaceForms": ["Syria"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.997, "OccurrenceOffsets": [35], "SurfaceForms": ["Trump"]}]	[{"Label": "Syria", "Type": "G", "WikidataId": "Q858", "Confidence": 0.997, "OccurrenceOffsets": [88], "SurfaceForms": ["Syria"]}, {"Label": "Islamic State of Iraq and the Levant", "Type": "U", "WikidataId": "Q2429253", "Confidence": 1.0, "OccurrenceOffsets": [192], "SurfaceForms": ["Islamic State group"]}, {"Label": "United States", "Type": "G", "WikidataId": "Q30", "Confidence": 0.999, "OccurrenceOffsets": [43, 159], "SurfaceForms": ["U.S.", "America"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.997, "OccurrenceOffsets": [0], "SurfaceForms": ["President Donald Trump"]}]
N54542	autos	autosnews	Police searching for thief stealing cars at Atlanta airport	Atlanta police are searching for a car thief who they say has been targeting cars at Hartsfield-Jackson Atlanta Airport.	https://assets.msn.com/labs/mind/AAJfTz3.html	[{"Label": "Hartsfield\u2013Jackson Atlanta International Airport", "Type": "F", "WikidataId": "Q214861", "Confidence": 0.998, "OccurrenceOffsets": [44], "SurfaceForms": ["Atlanta airport"]}]	[{"Label": "Hartsfield\u2013Jackson Atlanta International Airport", "Type": "F", "WikidataId": "Q214861", "Confidence": 0.998, "OccurrenceOffsets": [85], "SurfaceForms": ["Hartsfield-Jackson Atlanta Airport"]}, {"Label": "Atlanta Police Department", "Type": "O", "WikidataId": "Q2869377", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Atlanta police"]}]
N30290	foodanddrink	restaurantsandnews	The Real Reason McDonald's Keeps the Filet-O-Fish on Their Menu	It's something of an underdog story.	https://assets.msn.com/labs/mind/AAGaoIu.html	[{"Label": "McDonald's", "Type": "O", "WikidataId": "Q38076", "Confidence": 1.0, "OccurrenceOffsets": [16], "SurfaceForms": ["McDonald's"]}, {"Label": "Filet-O-Fish", "Type": "J", "WikidataId": "Q2705946", "Confidence": 1.0, "OccurrenceOffsets": [33], "SurfaceForms": ["the Filet-O-Fish"]}]	[]
N51844	foodanddrink	recipes	29 Thanksgiving Menus That Will Make November So Much Easier	Be ahead of the carve and give thanks for these delicious Thanksgiving dinner menu options.	https://assets.msn.com/labs/mind/AAADACq.html	[]	[]
N7992	travel	travelnews	You can now stay in a giant guitar-shaped hotel that you have to see to believe	Want to sleep in a building shaped like a guitar? The Seminole Hard Rock Hotel & Casino in South Florida is taking things to the next level.	https://assets.msn.com/labs/mind/AAJl3yv.html	[]	[{"Label": "Seminole Hard Rock Hotel & Casino Hollywood", "Type": "F", "WikidataId": "Q7449511", "Confidence": 0.935, "OccurrenceOffsets": [54], "SurfaceForms": ["Seminole Hard Rock Hotel & Casino"]}]
N49374	lifestyle	lifestyleroyals	Princess Beatrice's fashion hits and misses over the years	See all the style highs and lows from the British royal.	https://assets.msn.com/labs/mind/AAFeCyE.html	[{"Label": "Princess Beatrice of York", "Type": "P", "WikidataId": "Q165657", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Princess Beatrice"]}]	[]
N14176	foodanddrink	videos	Blueberry Dump Cake Satisfies Every Sweet Tooth	Dump cakes are the perfect, easy summer desserts and stress free!	https://assets.msn.com/labs/mind/AABRsV7.html	[]	[]
N60584	health	weightloss	Those Grueling Workouts May Not Help You Lose Belly Fat, but Here's What Will	If you're trying to lose weight, you're probably doing it to look and feel good, but shedding belly fat, specifically, can also improve your health.	https://assets.msn.com/labs/mind/AAEN9x9.html	[{"Label": "Adipose tissue", "Type": "C", "WikidataId": "Q193583", "Confidence": 1.0, "OccurrenceOffsets": [46], "SurfaceForms": ["Belly Fat"]}]	[{"Label": "Adipose tissue", "Type": "C", "WikidataId": "Q193583", "Confidence": 1.0, "OccurrenceOffsets": [94], "SurfaceForms": ["belly fat"]}]
N10	health	weight-loss	7 Running Workouts for Weight Loss	It's all about the fartleks.	https://assets.msn.com/labs/mind/AADnDn5.html	[{"Label": "Exercise", "Type": "C", "WikidataId": "Q219067", "Confidence": 1.0, "OccurrenceOffsets": [10], "SurfaceForms": ["Workouts"]}]	[]
N46830	video	news	'This is not normal': Sen. Manchin reacts to Vindman attacks	Sen. Joe Manchin, D-W. Va., weighs in on the personal attacks against Lt. Col. Alexander Vindman, calling them 'despicable.' Sen. Manchin also discusses the bankruptcy reform bill Stop Looting American Pensions' Act.	https://assets.msn.com/labs/mind/AAJwpXK.html	[]	[]
N41147	entertainment	gaming	This Sony PS5 feature could end the PlayStation vs Xbox battle once and for all	Can't figure out how to get to scale the wall and reach the helicopter? PlayStation Assist may be able to help	https://assets.msn.com/labs/mind/AAI3Q6F.html	[{"Label": "PlayStation", "Type": "J", "WikidataId": "Q1323662", "Confidence": 0.973, "OccurrenceOffsets": [36], "SurfaceForms": ["PlayStation"]}, {"Label": "Sony", "Type": "O", "WikidataId": "Q41187", "Confidence": 0.92, "OccurrenceOffsets": [5], "SurfaceForms": ["Sony"]}, {"Label": "Xbox (console)", "Type": "U", "WikidataId": "Q132020", "Confidence": 0.988, "OccurrenceOffsets": [51], "SurfaceForms": ["Xbox"]}]	[]
N61914	finance	finance-career	50 Great Jobs for Retirees	Retirement doesn't necessarily mean that work stops. For many retirees, work is a financial necessity, while others continue working for social reasons. Seniors can build on their previous careers or branch out into a new area they've always enjoyed. Check out these employment ideas to see which might be best for you.	https://assets.msn.com/labs/mind/AACLYy8.html	[{"Label": "Pensioner", "Type": "C", "WikidataId": "Q1749879", "Confidence": 0.995, "OccurrenceOffsets": [18], "SurfaceForms": ["Retirees"]}]	[{"Label": "Old age", "Type": "C", "WikidataId": "Q191089", "Confidence": 0.945, "OccurrenceOffsets": [153], "SurfaceForms": ["Seniors"]}, {"Label": "Pensioner", "Type": "C", "WikidataId": "Q1749879", "Confidence": 0.995, "OccurrenceOffsets": [62], "SurfaceForms": ["retirees"]}]
N21253	lifestyle	lifestylecareer	5 Incredible, Research-Backed Benefits of Having a Passion Outside Work	Science to professionals: seriously, get a hobby already.	https://assets.msn.com/labs/mind/AAINZjT.html	[{"Label": "First fix and second fix", "Type": "C", "WikidataId": "Q5454161", "Confidence": 1.0, "OccurrenceOffsets": [59], "SurfaceForms": ["Outside Work"]}]	[]
N24905	news	newspolitics	Grieder: Special election in House District 28 portends a deeply polarized 2020 election cycle	The special election in Texas House District 28 this year is special indeed, according to leaders from both parties. As a result, it's offered us all a dreary preview of what to expect in 2020, as Republicans and Democrats battle for control of the Texas House, and the state more generally. Republicans, apparently, are going to cast all Democrats as socialists. Democrats are going to cast all Republicans as   well, as Republicans, and pawns of a...	https://assets.msn.com/labs/mind/AAJJa4h.html	[{"Label": "2004 North Carolina General Assembly election", "Type": "N", "WikidataId": "Q7054495", "Confidence": 1.0, "OccurrenceOffsets": [29], "SurfaceForms": ["House District 28"]}]	[{"Label": "Republican Party (United States)", "Type": "O", "WikidataId": "Q29468", "Confidence": 1.0, "OccurrenceOffsets": [197, 292, 396, 422], "SurfaceForms": ["Republicans", "Republicans", "Republicans", "Republicans"]}, {"Label": "Democratic Party (United States)", "Type": "O", "WikidataId": "Q29552", "Confidence": 1.0, "OccurrenceOffsets": [213, 339, 364], "SurfaceForms": ["Democrats", "Democrats", "Democrats"]}, {"Label": "Texas House of Representatives", "Type": "B", "WikidataId": "Q827550", "Confidence": 1.0, "OccurrenceOffsets": [24, 249], "SurfaceForms": ["Texas House", "Texas House"]}, {"Label": "2004 North Carolina General Assembly election", "Type": "N", "WikidataId": "Q7054495", "Confidence": 1.0, "OccurrenceOffsets": [36], "SurfaceForms": ["District 28"]}]
N65207	health	health-news	Tennessee has deadliest year yet for drug overdoses, as nearby states improve	Tennessee is seeing overdoses increase while other Appalachian states are gaining ground on the opioid crisis, CDC data shows.	https://assets.msn.com/labs/mind/AAEz7EI.html	[{"Label": "Tennessee", "Type": "G", "WikidataId": "Q1509", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Tennessee"]}]	[{"Label": "Tennessee", "Type": "G", "WikidataId": "Q1509", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Tennessee"]}, {"Label": "Appalachian Mountains", "Type": "L", "WikidataId": "Q93332", "Confidence": 0.908, "OccurrenceOffsets": [51], "SurfaceForms": ["Appalachian"]}]
N16430	video	animals	This Rare Albino Hedgehog Was Rescued In California	This hedgehog was rescued in California.	https://assets.msn.com/labs/mind/AAHZ3Ph.html	[{"Label": "California", "Type": "G", "WikidataId": "Q99", "Confidence": 0.921, "OccurrenceOffsets": [41], "SurfaceForms": ["California"]}]	[{"Label": "California", "Type": "G", "WikidataId": "Q99", "Confidence": 0.921, "OccurrenceOffsets": [29], "SurfaceForms": ["California"]}]
N35616	finance	markets	Why more employers are helping workers pay off student loans	Americans owe a record $1.5 trillion in student debt, a burden that can hinder goals such as homeownership	https://assets.msn.com/labs/mind/AAJwg4W.html	[]	[]
N23386	lifestyle	voices	I'm an American who moved to Canada  here's why I'll never move back	From soon-to-be legalized marijuana to healthcare, here are some of the reasons I think Canada is better than the US and why I plan to stay.	https://assets.msn.com/labs/mind/AAC9ySW.html	[{"Label": "Canada", "Type": "G", "WikidataId": "Q16", "Confidence": 0.989, "OccurrenceOffsets": [29], "SurfaceForms": ["Canada"]}]	[{"Label": "Canada", "Type": "G", "WikidataId": "Q16", "Confidence": 0.989, "OccurrenceOffsets": [88], "SurfaceForms": ["Canada"]}, {"Label": "United States", "Type": "G", "WikidataId": "Q30", "Confidence": 0.977, "OccurrenceOffsets": [114], "SurfaceForms": ["US"]}]
N43484	lifestyle	shop-holidays	The Top 25 Holiday Gifts For Women That Will Be Flying Off the Shelves in 2019	Whether you like it or not, it's time to start thinking about the biggest task at hand for the holidays: gift shopping.	https://assets.msn.com/labs/mind/AAADGzG.html	[]	[]
N59794	lifestyle	lifestyledidyouknow	40 Things (Probably) Only Baby Boomers Will Remember	The times were much simpler.	https://assets.msn.com/labs/mind/AADnl68.html	[{"Label": "Baby boomers", "Type": "C", "WikidataId": "Q797819", "Confidence": 1.0, "OccurrenceOffsets": [26], "SurfaceForms": ["Baby Boomers"]}]	[]
N15483	health	medical	It's National Check Your Meds Day	Is it time for a medication reconciliation?	https://assets.msn.com/labs/mind/AAJ44Zd.html	[]	[]
N62736	entertainment	gaming	The 20 best horror games of all time	From classics like Silent Hill and Resident Evil, to modern horror like Alien Isolation and PT - these are the best scares in gaming	https://assets.msn.com/labs/mind/AAGe236.html	[]	[{"Label": "Alien: Isolation", "Type": "W", "WikidataId": "Q15613717", "Confidence": 1.0, "OccurrenceOffsets": [72], "SurfaceForms": ["Alien Isolation"]}, {"Label": "P.T. (video game)", "Type": "W", "WikidataId": "Q18182633", "Confidence": 0.942, "OccurrenceOffsets": [92], "SurfaceForms": ["PT"]}]
